#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
34569		SINAAI-WAAS	Sinaai-Waas	51.15	4.05		9112					100600000	7	35311	
34570		SINSIN	Sinsin	50.2833333	5.25		5377					100600000	7	35671	
34572		SINT-AGATHA-RODE	Sint-Agatha-Rode	50.7833333	4.6333333		3040					100600000	7	35361	
35191		SINT-AMANDS	Sint-Amands	51.0555555	4.2388889		2890					100600000	6	648	
34573		SINT-AMANDS	Sint-Amands	51.05	4.2		2890					100600000	7	35191	
34574		SINT-AMANDSBERG	Sint-Amandsberg	51.0666667	3.75		9040					100600000	7	35283	
34575		SINT-ANDRIES	Sint-Andries	51.2	3.1666667		8200					100600000	7	35379	
34576		SINT-ANTELINKS	Sint-Antelinks	50.85	3.9166667		9550					100600000	7	35253	
34577		SINT-BAAFS-VIJVE	Sint-Baafs-Vijve	50.9	3.3833333		8710					100600000	7	35417	
34578		SINT-BLASIUS-BOEKEL	Sint-Blasius-Boekel	50.85	3.7166667		9630					100600000	7	35304	
34579		SINT-DENIJS	Sint-Denijs	50.75	3.3666667		8554					100600000	7	35394	
34580		SINT-DENIJS-BOEKEL	Sint-Denijs-Boekel	50.8666667	3.7166667		9630					100600000	7	35304	
34581		SINT-DENIJS-WESTREM	Sint-Denijs-Westrem	51.0166667	3.6666667		9051					100600000	7	35283	
34582		SINT-ELOOIS-VIJVE	Sint-Eloois-Vijve	50.9	3.4		8793					100600000	7	35392	
34583		SINT-ELOOIS-WINKEL	Sint-Eloois-Winkel	50.8666667	3.1666667		8880					100600000	7	35409	
34584		SINT-GENESIUS-RODE	Sint-Genesius-Rode	50.75	4.35		1640					100600000	6	667	
34586		SINT-GILLIS-BIJ-DENDERMONDE	Sint-Gillis-bij-Dendermonde	51.0166667	4.1		9200					100600000	7	35261	
35310		SINT-GILLIS-WAAS	Sint-Gillis-Waas	51.2333333	4.1208333		9170					100600000	6	658	
34587		SINT-GILLIS-WAAS	Sint-Gillis-Waas	51.2166667	4.1333333		9170					100600000	7	35310	
34588		SINT-GORIKS-OUDENHOVE	Sint-Goriks-Oudenhove	50.85	3.7833333		9620					100600000	7	35257	
34589		SINT-HUIBRECHTS-HERN	Sint-Huibrechts-Hern	50.8333333	5.4333333		3730					100600000	7	35236	
34590		SINT-HUIBRECHTS-LILLE	Sint-Huibrechts-Lille	51.2333333	5.4833333		3910					100600000	7	35228	
35422		SINT-IDESBALD	Sint-Idesbald	51.1166667	2.6166667		8670					100600000	7	35421	
34591		SINT-JACOBSKAPELLE	Sint-Jacobskapelle	51.0166667	2.8333333		8600					100600000	7	35395	
34592		SINT-JAN	Sint-Jan	50.8666667	2.9		8900					100600000	7	35426	
34593		SINT-JAN-IN-EREMO	Sint-Jan-in-Eremo	51.2666667	3.5833333		9982					100600000	7	35270	
